OrderID,OrderDate,ShipDate,ShipMode,AddressID
CA-2014-103086,2014-10-17,10/19/2014,Second Class,015
CA-2014-103100,2014-12-20,12/23/2014,First Class,305
CA-2014-103191,2014-09-22,9/27/2014,Standard Class,156
CA-2014-103219,2014-11-09,11/13/2014,Standard Class,046
CA-2014-103310,2014-05-10,5/15/2014,Standard Class,059
CA-2014-103317,2014-07-05,7/8/2014,First Class,184
CA-2014-103331,2014-08-26,9/1/2014,Standard Class,286
CA-2014-103366,2014-01-15,1/17/2014,First Class,237
CA-2014-103373,2014-05-18,5/24/2014,Standard Class,178
CA-2014-103401,2014-11-21,11/26/2014,Standard Class,095
CA-2014-103429,2014-05-30,6/1/2014,First Class,024
CA-2014-103492,2014-10-10,10/15/2014,Standard Class,144
CA-2014-103527,2014-09-09,9/14/2014,Second Class,156
CA-2014-103590,2014-11-30,12/4/2014,Standard Class,185
CA-2014-103660,2014-08-25,8/30/2014,Standard Class,006
CA-2014-103702,2014-09-12,9/17/2014,Standard Class,324
CA-2014-103744,2014-02-23,2/27/2014,Standard Class,295
CA-2014-103800,2014-01-03,1/7/2014,Standard Class,015
CA-2014-103807,2014-12-02,12/9/2014,Standard Class,495
CA-2014-103849,2014-05-11,5/16/2014,Standard Class,007
CA-2014-103940,2014-09-17,9/21/2014,Standard Class,006
CA-2014-103989,2014-03-19,3/21/2014,First Class,153
CA-2014-104178,2014-08-25,8/29/2014,Standard Class,002
CA-2014-104269,2014-03-01,3/6/2014,Second Class,061
CA-2014-104283,2014-06-27,7/1/2014,Standard Class,373
CA-2014-104402,2014-06-17,6/23/2014,Standard Class,286
CA-2014-104472,2014-06-02,6/7/2014,Standard Class,013
CA-2014-104563,2014-03-07,3/12/2014,Standard Class,006
CA-2014-104738,2014-12-30,1/1/2015,Second Class,162
CA-2014-104773,2014-12-08,12/13/2014,Standard Class,017
CA-2014-104780,2014-05-21,5/25/2014,Standard Class,089
CA-2014-104808,2014-02-04,2/8/2014,Second Class,247
CA-2014-104829,2014-11-18,11/21/2014,Second Class,268
CA-2014-104976,2014-12-09,12/16/2014,Standard Class,035
CA-2014-105165,2014-09-07,9/10/2014,First Class,067
CA-2014-105172,2014-04-04,4/9/2014,Standard Class,010
CA-2014-105249,2014-11-28,11/28/2014,Same Day,035
CA-2014-105270,2014-11-11,11/18/2014,Standard Class,142
CA-2014-105340,2014-11-22,11/25/2014,First Class,090
CA-2014-105417,2014-01-07,1/12/2014,Standard Class,144
CA-2014-105648,2014-03-03,3/7/2014,Standard Class,089
CA-2014-105872,2014-05-30,6/6/2014,Standard Class,024
CA-2014-105893,2014-11-11,11/18/2014,Standard Class,008
CA-2014-105984,2014-11-24,11/24/2014,Same Day,048
CA-2014-106054,2014-01-06,1/7/2014,First Class,507
CA-2014-106229,2014-06-07,6/11/2014,Second Class,174
CA-2014-106264,2014-12-26,12/30/2014,Standard Class,143
CA-2014-106376,2014-12-05,12/10/2014,Standard Class,028
CA-2014-106439,2014-10-31,11/4/2014,Standard Class,014
CA-2014-106572,2014-09-05,9/10/2014,Standard Class,393
CA-2014-106719,2014-08-24,8/24/2014,Same Day,427
CA-2014-106726,2014-12-06,12/8/2014,First Class,142
CA-2014-106803,2014-12-29,1/2/2015,Standard Class,192
CA-2014-106810,2014-05-14,5/20/2014,Standard Class,105
CA-2014-106971,2014-09-02,9/8/2014,Standard Class,547
CA-2014-107139,2014-07-05,7/11/2014,Standard Class,026
CA-2014-107153,2014-09-28,10/3/2014,Standard Class,129
CA-2014-107181,2014-02-04,2/8/2014,Standard Class,143
CA-2014-107398,2014-08-25,8/30/2014,Standard Class,048
CA-2014-107454,2014-11-02,11/6/2014,Standard Class,024
CA-2014-107524,2014-03-02,3/8/2014,Standard Class,030
CA-2014-107573,2014-12-12,12/17/2014,Standard Class,329
CA-2014-107594,2014-07-02,7/6/2014,Standard Class,171
CA-2014-107706,2014-02-14,2/19/2014,Second Class,015
CA-2014-107755,2014-02-07,2/12/2014,Standard Class,205
CA-2014-107769,2014-10-28,11/1/2014,Standard Class,592
CA-2014-107811,2014-04-29,5/3/2014,Standard Class,032
CA-2014-107818,2014-09-08,9/14/2014,Standard Class,514
CA-2014-107916,2014-08-24,8/26/2014,First Class,188
CA-2014-108147,2014-06-08,6/13/2014,Standard Class,256
CA-2014-108182,2014-02-06,2/10/2014,Second Class,614
CA-2014-108189,2014-10-02,10/5/2014,First Class,287
CA-2014-108273,2014-12-16,12/21/2014,Standard Class,144
CA-2014-108609,2014-10-31,11/2/2014,Second Class,204
CA-2014-108707,2014-10-24,10/29/2014,Standard Class,003
CA-2014-108861,2014-05-28,6/1/2014,Standard Class,060
CA-2014-108903,2014-10-03,10/3/2014,Same Day,048
CA-2014-109043,2014-08-15,8/17/2014,First Class,476
CA-2014-109127,2014-12-21,12/25/2014,Standard Class,286
CA-2014-109134,2014-11-05,11/10/2014,Standard Class,142
CA-2014-109218,2014-06-30,7/3/2014,Second Class,026
CA-2014-109232,2014-01-13,1/16/2014,Second Class,423
CA-2014-109302,2014-08-12,8/16/2014,Standard Class,101
CA-2014-109491,2014-02-20,2/26/2014,Standard Class,239
CA-2014-109680,2014-10-06,10/9/2014,First Class,305
CA-2014-109855,2014-09-01,9/5/2014,Standard Class,030
CA-2014-109890,2014-07-21,7/27/2014,Standard Class,199
CA-2014-109897,2014-08-12,8/16/2014,Standard Class,035
CA-2014-109904,2014-07-14,7/17/2014,Second Class,030
CA-2014-109918,2014-09-07,9/12/2014,Second Class,087
CA-2014-109932,2014-12-09,12/11/2014,First Class,231
CA-2014-110030,2014-12-06,12/8/2014,Second Class,015
CA-2014-110065,2014-08-05,8/11/2014,Standard Class,030
CA-2014-110072,2014-10-22,10/28/2014,Standard Class,056
CA-2014-110100,2014-04-25,4/29/2014,Standard Class,125
CA-2014-110184,2014-07-12,7/16/2014,Standard Class,002
CA-2014-110219,2014-05-05,5/8/2014,First Class,066
CA-2014-110352,2014-11-23,11/29/2014,Standard Class,067
CA-2014-110408,2014-10-18,10/20/2014,Second Class,154
CA-2014-110422,2014-01-21,1/23/2014,Second Class,124
CA-2014-110527,2014-08-09,8/16/2014,Standard Class,089
CA-2014-110555,2014-04-11,4/18/2014,Standard Class,151
CA-2014-110611,2014-10-06,10/13/2014,Standard Class,075
CA-2014-110639,2014-08-23,8/23/2014,Same Day,030
CA-2014-110786,2014-12-29,1/2/2015,Standard Class,095
CA-2014-110849,2014-04-18,4/23/2014,Standard Class,014
CA-2014-111003,2014-06-01,6/6/2014,Standard Class,101
CA-2014-111059,2014-02-03,2/6/2014,Second Class,060
CA-2014-111150,2014-12-31,1/4/2015,Standard Class,340
CA-2014-111157,2014-03-02,3/6/2014,Standard Class,075
CA-2014-111192,2014-07-30,8/5/2014,Standard Class,006
CA-2014-111360,2014-11-24,11/30/2014,Standard Class,076
CA-2014-111451,2014-12-26,12/28/2014,First Class,098
CA-2014-111500,2014-08-17,8/21/2014,Standard Class,367
CA-2014-111773,2014-06-29,7/3/2014,Standard Class,024
CA-2014-111857,2014-04-23,4/26/2014,Second Class,010
CA-2014-111871,2014-03-18,3/21/2014,Second Class,095
CA-2014-111899,2014-05-04,5/5/2014,First Class,067
CA-2014-111934,2014-05-05,5/7/2014,First Class,102
CA-2014-111962,2014-09-29,10/4/2014,Standard Class,061
CA-2014-112158,2014-12-02,12/4/2014,First Class,046
CA-2014-112291,2014-04-03,4/8/2014,Standard Class,142
CA-2014-112326,2014-01-04,1/8/2014,Standard Class,018
CA-2014-112403,2014-03-31,3/31/2014,Same Day,075
CA-2014-112718,2014-12-16,12/21/2014,Standard Class,134
CA-2014-112837,2014-09-11,9/16/2014,Standard Class,570
CA-2014-112851,2014-09-17,9/21/2014,Standard Class,459
CA-2014-113047,2014-10-24,10/24/2014,Same Day,456
CA-2014-113166,2014-12-24,12/26/2014,First Class,124
CA-2014-113257,2014-12-16,12/18/2014,Second Class,582
CA-2014-113271,2014-07-09,7/14/2014,Standard Class,035
CA-2014-113320,2014-12-12,12/15/2014,Second Class,233
CA-2014-113362,2014-09-14,9/19/2014,Standard Class,145
CA-2014-113383,2014-09-10,9/13/2014,First Class,598
CA-2014-113579,2014-12-13,12/15/2014,Second Class,014
CA-2014-113768,2014-05-13,5/19/2014,Standard Class,026
CA-2014-113859,2014-09-13,9/17/2014,Standard Class,457
CA-2014-113880,2014-03-01,3/5/2014,Standard Class,387
CA-2014-113887,2014-04-05,4/7/2014,First Class,046
CA-2014-113929,2014-06-16,6/21/2014,Standard Class,420
CA-2014-113964,2014-09-23,9/30/2014,Standard Class,165
CA-2014-114125,2014-07-09,7/13/2014,Standard Class,014
CA-2014-114181,2014-05-10,5/14/2014,Second Class,064
CA-2014-114195,2014-11-01,11/3/2014,First Class,631
CA-2014-114251,2014-11-05,11/10/2014,Standard Class,106
CA-2014-114314,2014-10-11,10/15/2014,Standard Class,146
CA-2014-114321,2014-08-20,8/25/2014,Standard Class,498
CA-2014-114335,2014-09-28,10/3/2014,Standard Class,476
CA-2014-114433,2014-05-13,5/17/2014,Standard Class,233
CA-2014-114510,2014-03-14,3/19/2014,Standard Class,505
CA-2014-114517,2014-12-23,12/27/2014,Standard Class,024
CA-2014-114643,2014-06-13,6/17/2014,Standard Class,004
CA-2014-114790,2014-03-11,3/13/2014,Second Class,127
CA-2014-115049,2014-09-26,10/1/2014,Standard Class,037
CA-2014-115056,2014-05-02,5/2/2014,Same Day,048
CA-2014-115084,2014-10-18,10/22/2014,Standard Class,465
CA-2014-115133,2014-09-26,9/30/2014,Standard Class,404
CA-2014-115161,2014-01-31,2/2/2014,First Class,169
CA-2014-115259,2014-08-25,8/27/2014,Second Class,048
CA-2014-115336,2014-11-18,11/25/2014,Standard Class,037
CA-2014-115357,2014-08-06,8/11/2014,Second Class,038
CA-2014-115791,2014-01-16,1/18/2014,Second Class,064
CA-2014-115812,2014-06-09,6/14/2014,Standard Class,004
CA-2014-115889,2014-11-02,11/6/2014,Standard Class,035
CA-2014-115973,2014-11-24,11/26/2014,First Class,094
CA-2014-115980,2014-07-15,7/19/2014,Standard Class,376
CA-2014-116190,2014-07-26,8/1/2014,Standard Class,149
CA-2014-116239,2014-03-04,3/4/2014,Same Day,038
CA-2014-116246,2014-09-12,9/17/2014,Second Class,046
CA-2014-116407,2014-11-15,11/21/2014,Standard Class,341
CA-2014-116568,2014-12-14,12/20/2014,Standard Class,263
CA-2014-116666,2014-05-08,5/10/2014,First Class,064
CA-2014-116673,2014-12-15,12/19/2014,Second Class,089
CA-2014-116757,2014-06-30,7/4/2014,Standard Class,015
CA-2014-116785,2014-04-26,4/30/2014,Standard Class,002
CA-2014-116834,2014-10-11,10/16/2014,Standard Class,061
CA-2014-116904,2014-09-23,9/28/2014,Standard Class,040
CA-2014-116932,2014-07-21,7/25/2014,Standard Class,035
CA-2014-117016,2014-03-04,3/9/2014,Standard Class,494
CA-2014-117317,2014-10-19,10/19/2014,Same Day,004
CA-2014-117345,2014-08-01,8/5/2014,Standard Class,044
CA-2014-117429,2014-10-07,10/13/2014,Standard Class,012
CA-2014-117464,2014-07-22,7/24/2014,Second Class,035
CA-2014-117478,2014-09-21,9/24/2014,First Class,012
CA-2014-117639,2014-05-21,5/25/2014,Standard Class,221
CA-2014-117709,2014-05-04,5/8/2014,Standard Class,031
CA-2014-117765,2014-09-07,9/13/2014,Standard Class,313
CA-2014-118192,2014-01-13,1/18/2014,Standard Class,056
CA-2014-118276,2014-12-29,1/2/2015,Standard Class,587
CA-2014-118304,2014-04-29,5/4/2014,Standard Class,022
CA-2014-118339,2014-03-17,3/24/2014,Standard Class,088
CA-2014-118962,2014-08-05,8/9/2014,Standard Class,026
CA-2014-118976,2014-04-28,5/3/2014,Standard Class,309
CA-2014-119032,2014-11-27,12/3/2014,Standard Class,046
CA-2014-119144,2014-11-16,11/18/2014,First Class,142
CA-2014-119151,2014-11-25,11/29/2014,Second Class,030
CA-2014-119172,2014-05-11,5/15/2014,Standard Class,027
CA-2014-119375,2014-11-17,11/22/2014,Standard Class,286
CA-2014-119466,2014-12-15,12/21/2014,Standard Class,037
CA-2014-119529,2014-11-03,11/5/2014,Second Class,417
CA-2014-119977,2014-10-08,10/13/2014,Second Class,165
CA-2014-120096,2014-07-04,7/7/2014,First Class,043
CA-2014-120243,2014-12-27,12/30/2014,Second Class,026
CA-2014-120278,2014-11-07,11/12/2014,Standard Class,513
CA-2014-120411,2014-09-20,9/23/2014,First Class,156
CA-2014-120432,2014-08-24,8/26/2014,Second Class,554
CA-2014-120474,2014-12-01,12/3/2014,First Class,008
CA-2014-120544,2014-11-23,11/27/2014,Standard Class,352
CA-2014-120670,2014-11-02,11/6/2014,Standard Class,003
CA-2014-120768,2014-12-19,12/21/2014,Second Class,257
CA-2014-120775,2014-10-03,10/7/2014,Standard Class,163
CA-2014-120838,2014-03-23,3/26/2014,Second Class,002
CA-2014-120852,2014-12-20,12/25/2014,Standard Class,071
CA-2014-120887,2014-09-27,10/3/2014,Standard Class,104
CA-2014-120950,2014-11-06,11/11/2014,Standard Class,113
CA-2014-121006,2014-11-10,11/16/2014,Standard Class,375
CA-2014-121167,2014-11-28,11/30/2014,Second Class,266
CA-2014-121286,2014-11-04,11/8/2014,Second Class,183
CA-2014-121573,2014-11-03,11/7/2014,Standard Class,030
CA-2014-121629,2014-11-28,12/2/2014,Standard Class,017
CA-2014-121664,2014-05-06,5/10/2014,Standard Class,014
CA-2014-121727,2014-08-19,8/24/2014,Standard Class,048
CA-2014-121762,2014-02-14,2/18/2014,Standard Class,006
CA-2014-121769,2014-04-08,4/12/2014,Standard Class,214
CA-2014-122070,2014-04-22,4/24/2014,Second Class,025
CA-2014-122217,2014-11-24,11/29/2014,Standard Class,221
CA-2014-122336,2014-04-13,4/17/2014,Second Class,012
CA-2014-122567,2014-02-16,2/21/2014,Standard Class,078
CA-2014-122588,2014-11-25,11/27/2014,Second Class,470
CA-2014-122609,2014-11-12,11/18/2014,Standard Class,297
CA-2014-122679,2014-07-22,7/28/2014,Standard Class,142
CA-2014-122749,2014-12-03,12/9/2014,Standard Class,337
CA-2014-122882,2014-09-07,9/13/2014,Standard Class,064
CA-2014-122931,2014-09-29,10/3/2014,Standard Class,064
CA-2014-123064,2014-06-30,7/2/2014,First Class,156
CA-2014-123127,2014-09-08,9/12/2014,Standard Class,256
CA-2014-123225,2014-07-11,7/14/2014,First Class,295
CA-2014-123253,2014-08-22,8/25/2014,Second Class,347
CA-2014-123260,2014-08-26,8/30/2014,Standard Class,004
CA-2014-123295,2014-07-18,7/18/2014,Same Day,116
CA-2014-123316,2014-10-13,10/17/2014,Standard Class,185
CA-2014-123323,2014-11-07,11/12/2014,Standard Class,095
CA-2014-123344,2014-09-24,9/29/2014,Standard Class,010
CA-2014-123400,2014-02-02,2/9/2014,Standard Class,105
CA-2014-123477,2014-01-18,1/21/2014,Second Class,331
CA-2014-123498,2014-11-07,11/9/2014,First Class,017
CA-2014-123855,2014-06-18,6/23/2014,Standard Class,002
CA-2014-123925,2014-12-17,12/19/2014,Second Class,113
CA-2014-124023,2014-04-07,4/10/2014,First Class,273
CA-2014-124079,2014-12-13,12/17/2014,Standard Class,052
CA-2014-124247,2014-12-16,12/21/2014,Standard Class,380
CA-2014-124394,2014-10-17,10/22/2014,Second Class,582
CA-2014-124429,2014-05-27,5/27/2014,Same Day,189
CA-2014-124464,2014-07-14,7/20/2014,Standard Class,286
CA-2014-124478,2014-08-08,8/12/2014,Standard Class,191
CA-2014-124513,2014-09-21,9/25/2014,Standard Class,165
CA-2014-124618,2014-05-02,5/4/2014,Second Class,153
CA-2014-124646,2014-06-22,6/24/2014,First Class,040
CA-2014-124688,2014-08-27,8/29/2014,First Class,029
CA-2014-124702,2014-11-18,11/25/2014,Standard Class,060
CA-2014-124709,2014-07-27,7/29/2014,Second Class,035
CA-2014-124723,2014-08-05,8/12/2014,Standard Class,575
CA-2014-124730,2014-11-26,11/26/2014,Same Day,551
CA-2014-124737,2014-08-23,8/27/2014,Standard Class,077
CA-2014-124807,2014-07-12,7/15/2014,Second Class,027
CA-2014-124856,2014-09-29,10/3/2014,Second Class,165
CA-2014-125136,2014-09-28,10/3/2014,Standard Class,307
CA-2014-125150,2014-05-16,5/23/2014,Standard Class,002
CA-2014-125171,2014-09-03,9/3/2014,Same Day,030
CA-2014-125514,2014-09-21,9/22/2014,First Class,199
CA-2014-125542,2014-12-05,12/7/2014,First Class,064
CA-2014-125556,2014-11-14,11/16/2014,Second Class,070
CA-2014-125612,2014-08-03,8/8/2014,Standard Class,046
CA-2014-125682,2014-11-22,11/25/2014,First Class,149
CA-2014-125731,2014-09-10,9/16/2014,Standard Class,428
CA-2014-125759,2014-02-08,2/9/2014,First Class,284
CA-2014-125829,2014-11-04,11/11/2014,Standard Class,063
CA-2014-125997,2014-09-20,9/23/2014,First Class,165
CA-2014-126032,2014-06-23,6/28/2014,Standard Class,106
CA-2014-126193,2014-09-07,9/14/2014,Standard Class,623
CA-2014-126200,2014-08-25,8/29/2014,Standard Class,033
CA-2014-126277,2014-09-13,9/18/2014,Second Class,048
CA-2014-126333,2014-12-23,12/28/2014,Standard Class,484
CA-2014-126361,2014-08-04,8/9/2014,Second Class,269
CA-2014-126403,2014-09-09,9/12/2014,Second Class,112
CA-2014-126480,2014-09-20,9/24/2014,Standard Class,143
CA-2014-126522,2014-09-01,9/5/2014,Second Class,247
CA-2014-126683,2014-09-29,10/1/2014,Second Class,061
CA-2014-126760,2014-07-26,8/2/2014,Standard Class,284
CA-2014-126802,2014-12-29,1/5/2015,Standard Class,027
CA-2014-126907,2014-11-01,11/8/2014,Standard Class,027
CA-2014-126963,2014-06-15,6/15/2014,Same Day,295
CA-2014-127012,2014-08-11,8/15/2014,Standard Class,060
CA-2014-127131,2014-11-24,11/30/2014,Standard Class,006
CA-2014-127159,2014-05-12,5/15/2014,First Class,202
CA-2014-127166,2014-05-21,5/23/2014,Second Class,033
CA-2014-127187,2014-12-04,12/8/2014,Standard Class,024
CA-2014-127299,2014-09-19,9/24/2014,Standard Class,044
CA-2014-127383,2014-12-31,1/5/2015,Standard Class,295
CA-2014-127446,2014-11-25,11/30/2014,Standard Class,175
CA-2014-127488,2014-09-22,9/24/2014,Second Class,220
CA-2014-127523,2014-05-11,5/18/2014,Standard Class,291
CA-2014-127558,2014-11-15,11/18/2014,First Class,142
CA-2014-127586,2014-09-26,9/30/2014,Standard Class,061
CA-2014-127614,2014-02-11,2/15/2014,Standard Class,338
CA-2014-127691,2014-07-22,7/27/2014,Standard Class,024
CA-2014-127859,2014-03-17,3/20/2014,Second Class,064
CA-2014-127866,2014-07-20,7/23/2014,First Class,216
CA-2014-127936,2014-09-02,9/4/2014,First Class,030
CA-2014-127964,2014-03-03,3/8/2014,Standard Class,046
CA-2014-128055,2014-03-31,4/5/2014,Standard Class,035
CA-2014-128062,2014-11-19,11/22/2014,Second Class,064
CA-2014-128146,2014-06-21,6/25/2014,Standard Class,101
CA-2014-128209,2014-11-17,11/22/2014,Standard Class,251
CA-2014-128237,2014-03-25,3/30/2014,Standard Class,095
CA-2014-128524,2014-11-11,11/13/2014,First Class,061
CA-2014-128538,2014-10-11,10/15/2014,Standard Class,415
CA-2014-128622,2014-11-15,11/17/2014,Second Class,095
CA-2014-128839,2014-09-08,9/13/2014,Standard Class,338
CA-2014-128846,2014-04-07,4/12/2014,Standard Class,038
CA-2014-128888,2014-11-15,11/22/2014,Standard Class,015
CA-2014-128986,2014-08-03,8/5/2014,Second Class,277
CA-2014-129091,2014-11-22,11/27/2014,Standard Class,113
CA-2014-129147,2014-11-02,11/6/2014,Standard Class,082
CA-2014-129168,2014-08-17,8/23/2014,Standard Class,015
CA-2014-129189,2014-07-21,7/25/2014,Standard Class,163
CA-2014-129364,2014-12-08,12/13/2014,Standard Class,161
CA-2014-129574,2014-05-26,5/29/2014,First Class,409
CA-2014-129819,2014-12-13,12/15/2014,Second Class,001
CA-2014-129924,2014-07-12,7/17/2014,Standard Class,035
CA-2014-129938,2014-12-15,12/17/2014,Second Class,012
CA-2014-130092,2014-01-11,1/14/2014,First Class,022
CA-2014-130155,2014-05-19,5/22/2014,First Class,221
CA-2014-130274,2014-05-03,5/5/2014,First Class,292
CA-2014-130421,2014-03-03,3/7/2014,Standard Class,015
CA-2014-130428,2014-03-31,3/31/2014,Same Day,086
CA-2014-130449,2014-09-06,9/9/2014,First Class,010
CA-2014-130575,2014-12-14,12/16/2014,First Class,037
CA-2014-130624,2014-06-21,6/24/2014,First Class,024
CA-2014-130673,2014-05-20,5/22/2014,Second Class,608
CA-2014-130729,2014-10-24,10/29/2014,Standard Class,350
CA-2014-130813,2014-01-06,1/8/2014,Second Class,014
CA-2014-130869,2014-11-17,11/21/2014,Standard Class,539
CA-2014-130918,2014-08-22,8/24/2014,Second Class,452
CA-2014-130960,2014-12-30,1/4/2015,Standard Class,100
CA-2014-131002,2014-09-07,9/12/2014,Second Class,313
CA-2014-131009,2014-03-01,3/5/2014,Standard Class,295
CA-2014-131051,2014-12-01,12/5/2014,Standard Class,035
CA-2014-131247,2014-03-30,4/4/2014,Standard Class,095
CA-2014-131310,2014-07-12,7/18/2014,Standard Class,061
CA-2014-131387,2014-04-28,4/30/2014,First Class,035
CA-2014-131450,2014-08-08,8/15/2014,Standard Class,143
CA-2014-131527,2014-12-01,12/7/2014,Standard Class,223
CA-2014-131541,2014-07-28,7/28/2014,Same Day,332
CA-2014-131800,2014-12-30,1/4/2015,Standard Class,046
CA-2014-131905,2014-02-06,2/9/2014,First Class,338
CA-2014-131926,2014-06-01,6/6/2014,Second Class,088
CA-2014-131947,2014-09-17,9/22/2014,Standard Class,331
CA-2014-132010,2014-10-13,10/15/2014,First Class,196
CA-2014-132227,2014-11-04,11/10/2014,Standard Class,165
CA-2014-132451,2014-09-26,9/27/2014,First Class,189
CA-2014-132500,2014-09-08,9/12/2014,Standard Class,095
CA-2014-132542,2014-10-06,10/8/2014,Second Class,199
CA-2014-132612,2014-06-09,6/11/2014,Second Class,246
CA-2014-132787,2014-09-19,9/23/2014,Standard Class,061
CA-2014-132801,2014-10-07,10/12/2014,Standard Class,163
CA-2014-132864,2014-12-02,12/7/2014,Standard Class,048
CA-2014-132913,2014-12-24,12/26/2014,First Class,089
CA-2014-132962,2014-09-13,9/16/2014,First Class,106
CA-2014-132983,2014-04-28,5/3/2014,Standard Class,391
CA-2014-133158,2014-08-19,8/21/2014,Second Class,063
CA-2014-133228,2014-04-04,4/9/2014,Standard Class,186
CA-2014-133270,2014-06-06,6/9/2014,First Class,145
CA-2014-133305,2014-07-11,7/15/2014,Standard Class,165
CA-2014-133354,2014-02-22,2/24/2014,First Class,521
CA-2014-133389,2014-06-22,6/22/2014,Same Day,052
CA-2014-133424,2014-03-30,4/4/2014,Standard Class,060
CA-2014-133543,2014-12-22,12/26/2014,Standard Class,059
CA-2014-133592,2014-12-31,1/7/2015,Standard Class,260
CA-2014-133634,2014-11-05,11/10/2014,Standard Class,102
CA-2014-133690,2014-08-03,8/5/2014,First Class,077
CA-2014-133704,2014-09-20,9/26/2014,Standard Class,026
CA-2014-133753,2014-06-09,6/13/2014,Second Class,144
CA-2014-133809,2014-11-18,11/23/2014,Second Class,324
CA-2014-133830,2014-12-05,12/10/2014,Standard Class,063
CA-2014-133851,2014-06-09,6/16/2014,Standard Class,035
CA-2014-133963,2014-05-18,5/22/2014,Second Class,078
CA-2014-134061,2014-04-29,5/4/2014,Standard Class,145
CA-2014-134103,2014-01-30,2/4/2014,Standard Class,152
CA-2014-134215,2014-08-04,8/8/2014,Standard Class,372
CA-2014-134278,2014-07-06,7/8/2014,First Class,165
CA-2014-134313,2014-11-01,11/7/2014,Standard Class,077
CA-2014-134551,2014-12-20,12/25/2014,Standard Class,085
CA-2014-134572,2014-04-20,4/22/2014,Second Class,033
CA-2014-134621,2014-12-21,12/28/2014,Standard Class,085
CA-2014-134677,2014-10-06,10/10/2014,Standard Class,143
CA-2014-134726,2014-11-02,11/7/2014,Second Class,061
CA-2014-135090,2014-11-22,11/26/2014,Standard Class,002
CA-2014-135405,2014-01-09,1/13/2014,Standard Class,162
CA-2014-135608,2014-12-08,12/10/2014,Second Class,225
CA-2014-135657,2014-06-03,6/7/2014,Second Class,061
CA-2014-135699,2014-08-29,8/29/2014,Same Day,095
CA-2014-135755,2014-05-03,5/10/2014,Standard Class,232
CA-2014-135993,2014-05-28,6/2/2014,Standard Class,061
CA-2014-136280,2014-11-29,12/6/2014,Standard Class,106
CA-2014-136336,2014-04-21,4/26/2014,Standard Class,001
CA-2014-136399,2014-12-16,12/17/2014,First Class,014
CA-2014-136567,2014-12-20,12/21/2014,First Class,246
CA-2014-136644,2014-06-16,6/22/2014,Standard Class,392
CA-2014-136742,2014-04-06,4/10/2014,Standard Class,208
CA-2014-136861,2014-09-05,9/7/2014,First Class,105
CA-2014-137092,2014-10-20,10/22/2014,Second Class,156
CA-2014-137274,2014-03-29,4/2/2014,Standard Class,303
CA-2014-137351,2014-09-30,10/4/2014,Standard Class,060
CA-2014-137575,2014-08-06,8/11/2014,Standard Class,046
CA-2014-137589,2014-11-03,11/8/2014,Standard Class,208
CA-2014-137911,2014-10-09,10/15/2014,Standard Class,223
CA-2014-138023,2014-08-15,8/18/2014,First Class,177
CA-2014-138072,2014-12-30,1/3/2015,Standard Class,075
